host_ip,rssi_dbm,dist_m
172.20.10.2,-73.00,9.000
172.20.10.2,-73.00,9.000
172.20.10.2,-73.00,9.000
172.20.10.2,-73.00,9.000
172.20.10.2,-73.00,9.000
172.20.10.2,-73.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-73.00,9.000
172.20.10.2,-73.00,9.000
172.20.10.2,-73.00,9.000
172.20.10.2,-73.00,9.000
172.20.10.2,-73.00,9.000
172.20.10.2,-73.00,9.000
172.20.10.2,-73.00,9.000
172.20.10.2,-73.00,9.000
172.20.10.2,-73.00,9.000
172.20.10.2,-73.00,9.000
172.20.10.2,-73.00,9.000
172.20.10.2,-73.00,9.000
172.20.10.2,-73.00,9.000
172.20.10.2,-73.00,9.000
172.20.10.2,-73.00,9.000
172.20.10.2,-73.00,9.000
172.20.10.2,-73.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
172.20.10.2,-74.00,9.000
