event,host_time,src_ip,src_port,key,pi_name,payload_ts,rssi_dbm,agg_mode,agg_N,dist_m,rssi_mean
RAW,1761204655.301,10.128.97.90,41000,A,raspberrypi,1761204658.321,-57,,,1.5,
RAW,1761204655.78,10.128.97.90,41000,A,raspberrypi,1761204658.824,-57.2,,,1.5,
RAW,1761204656.224,10.128.97.90,41000,A,raspberrypi,1761204659.325,-55.6,,,1.5,
LEG_VAST,1761204656.441,,,A,raspberrypi,,,mean,20,2,-45.05
RAW,1761204656.838,10.128.97.90,41000,A,raspberrypi,1761204659.825,-54,,,2,
RAW,1761204657.248,10.128.97.90,41000,A,raspberrypi,1761204660.326,-55.2,,,2,
RAW,1761204657.76,10.128.97.90,41000,A,raspberrypi,1761204660.827,-50.9,,,2,
RAW,1761204658.298,10.128.97.90,41000,A,raspberrypi,1761204661.327,-51.3,,,2,
RAW,1761204658.783,10.128.97.90,41000,A,raspberrypi,1761204661.828,-57.4,,,2,
RAW,1761204659.296,10.128.97.90,41000,A,raspberrypi,1761204662.329,-57.5,,,2,
RAW,1761204659.811,10.128.97.90,41000,A,raspberrypi,1761204662.829,-54.4,,,2,
RAW,1761204660.319,10.128.97.90,41000,A,raspberrypi,1761204663.329,-55.9,,,2,
RAW,1761204660.727,10.128.97.90,41000,A,raspberrypi,1761204663.83,-51,,,2,
RAW,1761204661.241,10.128.97.90,41000,A,raspberrypi,1761204664.331,-43.6,,,2,
RAW,1761204661.751,10.128.97.90,41000,A,raspberrypi,1761204664.831,-41,,,2,
RAW,1761204662.265,10.128.97.90,41000,A,raspberrypi,1761204665.332,-44.2,,,2,
LEG_VAST,1761204662.691,,,A,raspberrypi,,,mean,20,2.5,-53.54
RAW,1761204662.776,10.128.97.90,41000,A,raspberrypi,1761204665.832,-46.4,,,2.5,
RAW,1761204663.294,10.128.97.90,41000,A,raspberrypi,1761204666.333,-48.9,,,2.5,
RAW,1761204663.8,10.128.97.90,41000,A,raspberrypi,1761204666.834,-50.1,,,2.5,
RAW,1761204664.431,10.128.97.90,41000,A,raspberrypi,1761204667.335,-48,,,2.5,
RAW,1761204664.826,10.128.97.90,41000,A,raspberrypi,1761204667.835,-54.2,,,2.5,
