host_ip,rssi_dbm,dist_m
172.20.10.4,-60.00,2.500
172.20.10.4,-60.00,2.500
172.20.10.4,-60.00,2.500
172.20.10.4,-60.00,2.500
172.20.10.4,-60.00,2.500
172.20.10.4,-60.00,2.500
172.20.10.4,-60.00,2.500
172.20.10.4,-60.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-62.00,2.500
172.20.10.4,-62.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-62.00,2.500
172.20.10.4,-62.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-64.00,2.500
172.20.10.4,-64.00,2.500
172.20.10.4,-64.00,2.500
172.20.10.4,-64.00,2.500
172.20.10.4,-64.00,2.500
172.20.10.4,-64.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-62.00,2.500
172.20.10.4,-62.00,2.500
172.20.10.4,-62.00,2.500
172.20.10.4,-62.00,2.500
172.20.10.4,-62.00,2.500
172.20.10.4,-62.00,2.500
172.20.10.4,-62.00,2.500
172.20.10.4,-62.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-62.00,2.500
172.20.10.4,-62.00,2.500
172.20.10.4,-62.00,2.500
172.20.10.4,-62.00,2.500
172.20.10.4,-62.00,2.500
172.20.10.4,-62.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-60.00,2.500
172.20.10.4,-60.00,2.500
172.20.10.4,-60.00,2.500
172.20.10.4,-60.00,2.500
172.20.10.4,-60.00,2.500
172.20.10.4,-60.00,2.500
172.20.10.4,-60.00,2.500
172.20.10.4,-60.00,2.500
172.20.10.4,-60.00,2.500
172.20.10.4,-60.00,2.500
172.20.10.4,-60.00,2.500
172.20.10.4,-60.00,2.500
172.20.10.4,-60.00,2.500
172.20.10.4,-60.00,2.500
172.20.10.4,-60.00,2.500
172.20.10.4,-60.00,2.500
172.20.10.4,-60.00,2.500
172.20.10.4,-60.00,2.500
172.20.10.4,-60.00,2.500
172.20.10.4,-60.00,2.500
172.20.10.4,-60.00,2.500
172.20.10.4,-60.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-62.00,2.500
172.20.10.4,-62.00,2.500
172.20.10.4,-62.00,2.500
172.20.10.4,-62.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-64.00,2.500
172.20.10.4,-64.00,2.500
172.20.10.4,-64.00,2.500
172.20.10.4,-64.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-62.00,2.500
172.20.10.4,-62.00,2.500
172.20.10.4,-62.00,2.500
172.20.10.4,-62.00,2.500
172.20.10.4,-62.00,2.500
172.20.10.4,-62.00,2.500
172.20.10.4,-62.00,2.500
172.20.10.4,-62.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-61.00,2.500
172.20.10.4,-62.00,2.500
172.20.10.4,-62.00,2.500
172.20.10.4,-62.00,2.500
172.20.10.4,-62.00,2.500
172.20.10.4,-62.00,2.500
172.20.10.4,-62.00,2.500
172.20.10.4,-62.00,2.500
172.20.10.4,-62.00,2.500
172.20.10.4,-62.00,2.500
172.20.10.4,-62.00,2.500
172.20.10.4,-62.00,2.500
172.20.10.4,-62.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-63.00,2.500
172.20.10.4,-62.00,2.500
172.20.10.4,-62.00,2.500
