host_ip,rssi_dbm,dist_m
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
172.20.10.2,-53.00,0.500
