host_ip,rssi_dbm,dist_m
172.20.10.2,-69.00,1.500
172.20.10.2,-69.00,1.500
172.20.10.2,-69.00,1.500
172.20.10.2,-69.00,1.500
172.20.10.2,-69.00,1.500
172.20.10.2,-69.00,1.500
172.20.10.2,-69.00,1.500
172.20.10.2,-69.00,1.500
172.20.10.2,-69.00,1.500
172.20.10.2,-69.00,1.500
172.20.10.2,-69.00,1.500
172.20.10.2,-69.00,1.500
172.20.10.2,-69.00,1.500
172.20.10.2,-69.00,1.500
172.20.10.2,-69.00,1.500
172.20.10.2,-69.00,1.500
172.20.10.2,-69.00,1.500
172.20.10.2,-69.00,1.500
172.20.10.2,-69.00,1.500
172.20.10.2,-69.00,1.500
172.20.10.2,-69.00,1.500
172.20.10.2,-69.00,1.500
172.20.10.2,-69.00,1.500
172.20.10.2,-69.00,1.500
172.20.10.2,-69.00,1.500
172.20.10.2,-69.00,1.500
172.20.10.2,-69.00,1.500
172.20.10.2,-69.00,1.500
172.20.10.2,-69.00,1.500
172.20.10.2,-69.00,1.500
172.20.10.2,-69.00,1.500
172.20.10.2,-69.00,1.500
172.20.10.2,-69.00,1.500
172.20.10.2,-69.00,1.500
172.20.10.2,-69.00,1.500
172.20.10.2,-69.00,1.500
172.20.10.2,-68.00,1.500
172.20.10.2,-68.00,1.500
172.20.10.2,-68.00,1.500
172.20.10.2,-68.00,1.500
172.20.10.2,-68.00,1.500
172.20.10.2,-68.00,1.500
172.20.10.2,-68.00,1.500
172.20.10.2,-68.00,1.500
172.20.10.2,-68.00,1.500
172.20.10.2,-68.00,1.500
172.20.10.2,-68.00,1.500
172.20.10.2,-66.00,1.500
172.20.10.2,-66.00,1.500
172.20.10.2,-66.00,1.500
172.20.10.2,-66.00,1.500
172.20.10.2,-66.00,1.500
172.20.10.2,-66.00,1.500
172.20.10.2,-66.00,1.500
172.20.10.2,-66.00,1.500
172.20.10.2,-66.00,1.500
172.20.10.2,-65.00,1.500
